archivo,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,RidgePSO,2025,2024.071138878381,0.9288611216193204,2025,2024.133624236743,0.8663757632571105,2025,2024.190491650127,0.8095083498733402
validacionmodelo_AÑO_True,Linear,2025,2024.0695970695967,0.9304029304028064,2025,2024.132693314012,0.8673066859880691,2025,2024.1898959531795,0.8101040468204701
validacionmodelo_AÑO_True,LinearPSO,2025,2024.0695970695967,0.9304029304028064,2025,2024.132693314012,0.8673066859880691,2025,2024.1898959531795,0.8101040468204701
validacionmodelo_Capital contribuido_True,Linear,46475907,46377709.82891736,98197.17108264564,46699803,46547934.1365735,151868.86342649907,46948934,46718371.18852179,230562.81147821248
validacionmodelo_Capital contribuido_True,RidgePSO,46475907,46382754.6898427,93152.31015729904,46699803,46547671.3677122,152131.6322878003,46948934,46717470.04404055,231463.95595945415
validacionmodelo_Capital contribuido_True,LinearPSO,46475907,46375392.37724589,100514.62275411189,46699803,46544776.2633082,155026.73669180274,46948934,46714410.85483801,234523.14516198635
validacionmodelo_Comisiones y tarifas cobradas_True,Linear,185564,1447115.7108324994,-1261551.7108324994,312401,1317468.59110789,-1005067.59110789,455175,1207402.042631262,-752227.042631262
validacionmodelo_Comisiones y tarifas cobradas_True,LinearPSO,185564,1446715.9930039265,-1261151.9930039265,312401,1314040.5917194576,-1001639.5917194576,455175,1204244.3545019217,-749069.3545019217
validacionmodelo_Comisiones y tarifas cobradas_True,RidgePSO,185564,1446556.6025506945,-1260992.6025506945,312401,1313893.626223542,-1001492.626223542,455175,1204105.388153162,-748930.3881531619
validacionmodelo_Comisiones y tarifas pagadas_True,Linear,96821,469978.8180127701,-373157.8180127701,167158,413718.0309057781,-246560.0309057781,222934,367770.0021642876,-144836.00216428755
validacionmodelo_Comisiones y tarifas pagadas_True,Lasso,96821,463936.8063955723,-367115.8063955723,167158,403886.6142371834,-236728.6142371834,222934,355761.48063221225,-132827.48063221225
validacionmodelo_Comisiones y tarifas pagadas_True,LinearPSO,96821,465755.1068076704,-368934.1068076704,167158,402527.6348316752,-235369.63483167515,222934,351610.3548228597,-128676.35482285968
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,Ridge,0,0.2543937208658125,-0.2543937208658125,0,0.4816556614300594,-0.4816556614300594,0,0.690841885789032,-0.690841885789032
validacionmodelo_Créditos a la vivienda3_True,RidgePSO,0,0.2440812967641028,-0.2440812967641028,0,0.4738815900916451,-0.4738815900916451,0,0.6862255308468869,-0.6862255308468869
validacionmodelo_Créditos a la vivienda3_True,LinearPSO,0,0.2440428325739181,-0.2440428325739181,0,0.4738524252917966,-0.4738524252917966,0,0.6862078487860185,-0.6862078487860185
validacionmodelo_Créditos a la vivienda4_True,MLPSO,0,3.6253912372163905e-10,-3.6253912372163905e-10,0,3.7483629394818857e-10,-3.7483629394818857e-10,0,3.4368668327955376e-10,-3.4368668327955376e-10
validacionmodelo_Créditos a la vivienda4_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda4_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,DTPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,LassoPSO,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,Linear,217288,2358484.122663308,-2141196.122663308,404523,2310646.2731734198,-1906123.2731734195,618616,2273345.9972817632,-1654729.9972817632
validacionmodelo_Créditos comerciales3_True,LinearPSO,217288,2358294.8697089497,-2141006.8697089497,404523,2308611.238597844,-1904088.2385978436,618616,2271223.960931907,-1652607.960931907
validacionmodelo_Créditos comerciales3_True,RidgePSO,217288,2356911.404213196,-2139623.404213196,404523,2307155.996771581,-1902632.996771581,618616,2269641.733916134,-1651025.733916134
