nombre,modelo,MR0,MP0,diff0,MR1,MP1,diff1,MR2,MP2,diff2
validacionmodelo_AÑO_True,RidgePSO,2025,2024.071138878381,0.9288611216193204,2025,2024.133624236743,0.8663757632571105,2025,2024.190491650127,0.8095083498733402
validacionmodelo_Capital contribuido_True,Linear,46475907,46377709.82891736,98197.17108264564,46699803,46547934.1365735,151868.86342649907,46948934,46718371.18852179,230562.81147821248
validacionmodelo_Comisiones y tarifas cobradas_True,XGBoostPSO,185564,135712.78381323814,49851.216186761856,312401,225158.3032337427,87242.69676625729,455175,344383.9431014508,110791.0568985492
validacionmodelo_Comisiones y tarifas pagadas_True,MLPSO,96821,376199.1414312768,-279378.14143127674,167158,296150.97608634195,-128992.97608634197,222934,251274.99148666125,-28340.991486661253
validacionmodelo_Costos y gastos asociados con el otorgamiento del crédito_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda3_True,RF,0,0.1951600751306524,-0.1951600751306524,0,0.1951600751306524,-0.1951600751306524,0,0.1951600751306524,-0.1951600751306524
validacionmodelo_Créditos a la vivienda4_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos a la vivienda6_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales3_True,RFPSO,217288,587434.9230769232,-370146.9230769232,404523,840619.4615384614,-436096.4615384614,618616,678944.6153846155,-60328.61538461549
validacionmodelo_Créditos comerciales4_True,XGBoostPSO,2469,1439.939566001296,1029.060433998704,12131,2331.9823833703995,9799.0176166296,12346,9430.685673832892,2915.314326167106
validacionmodelo_Créditos comerciales5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos comerciales6_True,DTPSO,-14036,-38413.99999999999,24377.999999999996,-96923,-6359.000000000005,-90564.0,-36630,-37861.00000000001,1231.0000000000073
validacionmodelo_Créditos de consumo1_True,DT,9032738,8572213.25,460524.75,8799823,8572213.25,227609.75,8084911,8572213.25,-487302.25
validacionmodelo_Créditos de consumo2_True,DT,-15314510,-15772286.25,457776.25,-14905902,-15080061.285714287,174159.2857142873,-15870485,-15772286.25,-98198.75
validacionmodelo_Créditos de consumo3_True,RF,7809437,53560793.42833332,-45751356.42833332,14943581,48711019.272500046,-33767438.272500046,23061817,31199903.619906142,-8138086.619906142
validacionmodelo_Créditos de consumo4_True,DTPSO,283763,54701.0,229062.0,422632,152454.0,270178.0,498776,248022.0,250754.0
validacionmodelo_Créditos de consumo5_True,DT,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
validacionmodelo_Créditos de consumo6_True,MLP,1222155,10975184.576685974,-9753029.576685974,1935647,8144546.121687767,-6208899.121687767,4046960,5614020.152962096,-1567060.152962096
validacionmodelo_Créditos de consumo_True,Linear,455122670,458629457.6655405,-3506787.6655405164,466064428,463825861.2166664,2238566.783333659,472451068,468815791.7996897,3635276.20031029
validacionmodelo_Depósitos a plazo_True,Linear,138974402,133089973.07166705,5884428.92833297,150681725,136172955.7850939,14508769.214906096,155961229,139329413.4660307,16631815.533969313
validacionmodelo_Depósitos de exigibilidad inmediata_True,RidgePSO,430361702,430167367.7799959,194334.22000408173,432268641,432657693.1710991,-389052.1710991264,436236415,435115859.5434595,1120555.456540525
validacionmodelo_Disponibilidades_True,Linear,24108153,19734614.839065112,4373538.160934888,19799516,18110045.95249598,1689470.047504019,22218738,18820247.38826353,3398490.611736465
